"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2043884414774505741","2026-04-14T02:49:52.000Z","TheAhmadOsman","Ahmad","Using local LLMs?

Make sure to setup web search for them

Tell your favorite agent to setup SearNg for you

Give that to your local LLMs (tell an agent to set that up as well)

Watch them become way more intelligent and efficient

You're welcome","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","37","815","52","5","976","89079","false","none",,,,,"2043884414774505741",,,,,,
"original","2043608032035414024","2026-04-13T08:31:37.000Z","HowToPrompt__","How To Prompt","Someone just open-sourced a full 3d building editor that runs 100% in your browser.

no autocad. no revit. no $5,000 annual licenses. open-source.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","592","6710","98","28","7525","617222","true","video","https://pbs.twimg.com/amplify_video_thumb/2043606405761122304/img/YfV9bXQcTTtP5W1A.jpg","https://video.twimg.com/amplify_video/2043606405761122304/vid/avc1/1850x1080/tAVshGlZOhYduGFm.mp4?tag=21","98","https://pbs.twimg.com/amplify_video_thumb/2043606405761122304/img/YfV9bXQcTTtP5W1A.jpg","2043608032035414024",,,,,,
"original","2043315327250075913","2026-04-12T13:08:31.000Z","Techjunkie_Aman","Techjunkie Aman","You don’t need BlueStacks anymore.

Google made its own Android emulator for Windows.

And it’s actually good.

Google Play Games:

• runs Android 14 natively  
• lightweight (no heavy emulator lag)  
• uses Hyper-V for better performance  
• supports keyboard & mouse controls  
• install APKs using ADB (no extra tools)  

Setup is simple:

• enable virtualization (Hyper-V / VM Platform)  
• install emulator  
• login → done  

No ads. No bloat.

Watch this to set it up in minutes 👇","en","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","241","2423","74","40","2170","277751","true","video","https://pbs.twimg.com/ext_tw_video_thumb/2043315226981126145/pu/img/0q8TBBmwO7swiCqc.jpg","https://video.twimg.com/ext_tw_video/2043315226981126145/pu/vid/avc1/1280x720/Nk8k3Ra27FKYQCR5.mp4?tag=19","241","https://pbs.twimg.com/ext_tw_video_thumb/2043315226981126145/pu/img/0q8TBBmwO7swiCqc.jpg","2043315327250075913",,,,,,
"original","2041289054130507835","2026-04-06T22:56:50.000Z","outsource_","Eric ⚡️ Building...","🚨GOOGLE QUIETLY LAUNCHED OFFLINE AI DICTATION APP

STOP PAYING FOR WISPRFLOW 🫵🏻

🤯Google just quietly dropped the future of AI dictation. AI Edge Eloquent is 100% offline

🤖Gemma-powered, and turns your messy “um… ah… wait” speech into clean, polished text instantly.

 🤫No cloud. No tracking.
 Beats Wispr Flow for most people.

📲iPhone (and runs on Mac). Free.

Download 👇🏻

https://apps.apple.com/app/google-ai-edge-eloquent/id6756505519

Github 👇🏻

https://github.com/google-ai-edge/gallery","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","94","1200","44","11","1896","134778","true","photo","https://pbs.twimg.com/media/HFQcGembsAAvmEy.jpg; https://pbs.twimg.com/media/HFQcHzhbcAAWEBl.png",,,"https://pbs.twimg.com/media/HFQcGembsAAvmEy.jpg","2041289054130507835",,,,,,
"original","2037184894540054974","2026-03-26T15:08:22.000Z","HamelHusain","Hamel Husain","http://x.com/i/article/2037041238030114819","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","35","241","15","13","375","87215","false","none",,,,,"2037184894540054974",,,,,,
"original","2036795753096421843","2026-03-25T13:22:04.000Z","jameesy","james bedford","http://x.com/i/article/2036791764565045248","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","98","1515","23","9","3758","166763","false","none",,,,,"2036795753096421843",,,,,,
"original","2032738207100490001","2026-03-14T08:38:49.000Z","0xSero","0xSero","Let me make your life better
Don't skip this one

1. Go to https://takeout.google.com/ 
2. Select everything 
3. Request backup 
4. Install zip 
5. Make an offline copy 
6. RAG it, make a skill to search it 

If you're going to hook up an LLM to your Google you need to have a backup","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","26","419","11","1","507","21278","true","photo","https://pbs.twimg.com/media/HDW75UKXkAAS8D_.jpg",,,"https://pbs.twimg.com/media/HDW75UKXkAAS8D_.jpg","2032738207100490001",,,,,,
"original","2011426702505718175","2026-01-14T13:14:31.000Z","damianplayer","Damian Player","go to grok and paste a profile url.   

ask it “scrape tweets above 1k likes about [keyword]” for any account in your niche.  

grab 5-10 of yours plus 5-10 from 3 top accounts in your space.  

now build a context profile:  

• paste all tweets into claude  
• ask it to find patterns in hooks, tone, angles, and structure 
• have it create a style guide based on what performs  

save this as your base. 

then create separate system prompts for:  

[emails] [ads] [content] [writing copy] [outreach scripts] etc. 

each one references your context file but adjusts format and length.

you should probably save this..","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","45","745","43","2","1696","50477","false","none",,,,,"2011426702505718175",,,,,,
"reply","1965435549357047997","2025-09-09T15:22:05.000Z","goyal__pramod","Pramod Goyal","Link: https://distributedlexicon.com/","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1","11","0","0","23","723","false","none",,,,,"1965435545880068183","1965435545880068183","1728292834271236096","goyal__pramod",,,
"original","1963843389918446066","2025-09-05T05:55:25.000Z","mattshumer_","Matt Shumer","Too many people use frameworks to build agents, when really, all you need are the raw LLM APIs and a while loop.

Don't overcomplicate what doesn't need to be overcomplicated.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","43","857","134","28","272","160955","false","none",,,,,"1963843389918446066",,,,,,
