"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2061887251181945099","2026-06-02T19:06:43.000Z","adxtyahq","aditya","again saying there's never been a better time to work on multi-agent systems.

learn rag, orchestration, evals, memory, routing, tool calling, validation loops, fix loops, split learning, context engineering. all of it.

getting an llm to answer questions is becoming the easy part

getting multiple agents, tools, and workflows to work together reliably in production without breaking every other day is where the real challenge is.

we're entering a phase where building the model matters less than building everything around it.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","88","811","42","5","909","325887","true","photo","https://pbs.twimg.com/media/HJ1LMNcacAApQ_k.jpg",,,"https://pbs.twimg.com/media/HJ1LMNcacAApQ_k.jpg","2061887251181945099",,,,,,
"quote","2062090077296283932","2026-06-03T08:32:40.000Z","adxtyahq","aditya","for anyone asking where to learn this stuff:

• RAG → https://weaviate.io/blog/introduction-to-rag
• Agentic RAG → https://weaviate.io/blog/what-is-agentic-rag
• AI Agents → https://www.anthropic.com/research/building-effective-agents
• Multi-Agent Systems → https://resources.anthropic.com/building-effective-ai-agents
• LangGraph → https://docs.langchain.com/oss/python/langgraph/overview
• LangGraph (code) → https://github.com/langchain-ai/langgraph
• MCP → https://modelcontextprotocol.io
• Memory Systems → https://www.letta.com
• Evals → https://docs.smith.langchain.com
• Context Engineering → search ""Context Engineering Survey"" on arXiv

and please skip the ""build an ai agent in 10 minutes"" videos
build something, watch it fail, then figure out why.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","661","3931","53","13","7474","319895","false","none",,,,,"2062090077296283932",,,,"2061887251181945099","1035145780754087936",
"original","2061877533885473181","2026-06-02T18:28:06.000Z","mvanhorn","Matt Van Horn","http://x.com/i/article/2061440101411102721","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","270","2510","105","64","7627","676449","false","none",,,,,"2061877533885473181",,,,,,
"reply","2061912053422727268","2026-06-02T20:45:16.000Z","siddaniagi","Sid Dani","@rileybrown Bro, you really need to study harness engineering. You built one yourself, and I can't believe you're still saying those things. 

https://github.com/walkinglabs/learn-harness-engineering","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","0","3","2","0","8","390","false","none",,,,,"2061821779547394372","2061821779547394372","1601693298707628035","rileybrown",,,
"original","2033945654377283643","2026-03-17T16:36:47.000Z","rohit4verse","Rohit","http://x.com/i/article/2028491712692383744","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","309","2597","89","87","9465","1534589","false","none",,,,,"2033945654377283643",,,,,,
"quote","2061168127166280140","2026-05-31T19:29:10.000Z","rohit4verse","Rohit","2 months ago, I wrote ""The Harness Is Everything""  1.3M views.

Last week's Life-Harness paper: 116 of 126 model-environment setups improved by patching the harness alone. 

Model frozen. 88.5% mean lift across 18 backbones.

↓ how Claude Code and Codex actually work under the hood","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","153","1069","64","9","1682","139825","true","photo","https://pbs.twimg.com/media/HJq8t1kaEAITfct.jpg",,,"https://pbs.twimg.com/media/HJq8t1kaEAITfct.jpg","2061168127166280140",,,,"2033945654377283643","1605975892677001218",
"original","2028814227004395561","2026-03-03T12:46:19.000Z","systematicls","sysls","http://x.com/i/article/2028694727600623616","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1001","8781","188","255","28011","3776662","false","none",,,,,"2028814227004395561",,,,,,
"quote","2060675167152648270","2026-05-30T10:50:19.000Z","systematicls","sysls","I wrote this ~3 months ago, and since then, 

1) Memory has been more or less fully integrated with the frontier models

2) Almost all features that made OpenClaw unique as a harness has been fully absorbed by the frontier models (e.g. schedules, loops, goals, memory, etc.)

3) New, vertical killing features and capabilities are being added every other week 

--
All that being said, agentic engineering is still an incredibly high skill affair.

It is now obvious to me that there is a gulf of know-how and tacit knowledge between those that CAN remove humans-out-of-the-loop and actually produce a working product, and the rest of the world insisting that agents are still producing ""slop"".","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","140","1838","46","16","3173","232496","false","none",,,,,"2060675167152648270",,,,"2028814227004395561","1779775861589504000",
"original","2058745340895870985","2026-05-25T03:01:53.000Z","TheAhmadOsman","Ahmad","http://x.com/i/article/2058742259261014016","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","124","902","18","5","1967","205899","false","none",,,,,"2058745340895870985",,,,,,
"original","2057590224729911346","2026-05-21T22:31:52.000Z","TheAhmadOsman","Ahmad","http://x.com/i/article/2057582083208257538","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","98","650","20","21","1837","262576","false","none",,,,,"2057590224729911346",,,,,,
