"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2063295181131247674","2026-06-06T16:21:20.000Z","sheriyuo","Xiuyu Li","http://x.com/i/article/2063294118101688321","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","189","1942","17","15","4853","362197","false","none",,,,,"2063295181131247674",,,,,,
"quote","2063736553357394025","2026-06-07T21:35:11.000Z","pradheepraop","pradheep","wrote my answers for this rl interview questions 2026 list here:

https://app.notion.com/p/RL-Interview-Questions-2026-378802359a2a80079bbff139272e0aee

the questions were genuinely good. most of my time went into just staring at the wall and thinking through the answers properly 😅

kept the notion doc open with comments too, so feedback/corrections are very welcome if i’ve explained something wrong anywhere. raw/unfiltered notes for now -- spelling mistakes included, bear with me 😅 and setup was something like a split tab bw notion and x article","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","23","342","4","0","690","31002","true","photo","https://pbs.twimg.com/media/HKPdYaabUAACarT.jpg",,,"https://pbs.twimg.com/media/HKPdYaabUAACarT.jpg","2063736553357394025",,,,"2063295181131247674","2018976131849039872",
"original","2063976849827655744","2026-06-08T13:30:02.000Z","arjunkocher","Arjun","RL Algorithm Interview Questions 2026

(as compiled by @sheriyuo)

http://k-a.in/rl-algo.html","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","170","1753","11","1","2956","95736","true","photo","https://pbs.twimg.com/media/HKS3b6BboAA3_kU.jpg",,,"https://pbs.twimg.com/media/HKS3b6BboAA3_kU.jpg","2063976849827655744",,,,,,
"quote","2063957500114960592","2026-06-08T12:13:09.000Z","neural_avb","AVB","Generally, I don't bookmark anything on X. If I find something I MUST revisit later, I'd just put it on Apple Notes... a place my eyes instinctively stumbles upon every single day.

4.1k people bookmarked this great resource, 1% will return unfortunately.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9","187","4","0","310","22670","true","photo","https://pbs.twimg.com/media/HKSlvOSbQAEwSUQ.jpg",,,"https://pbs.twimg.com/media/HKSlvOSbQAEwSUQ.jpg","2063957500114960592",,,,"2063295181131247674","2018976131849039872",
"original","2061827001204240599","2026-06-02T15:07:18.000Z","cwolferesearch","Cameron R. Wolfe, Ph.D.","Interested in learning how to run RL at scale? Here are the best resources to read…

Research on Scaling RL
1. The Art of Scaling RL compute for LLMs: https://arxiv.org/abs/2510.13786
2. Scaling Behaviors of LLM RL Post-Training: https://arxiv.org/abs/2509.25300
3. Optimally Scaling Sampling Compute for LLM RL: https://arxiv.org/abs/2603.12151
4. Scaling up RL: https://arxiv.org/abs/2507.12507
5. ProRL V2 - Prolonged Training Validates RL Scaling Laws: https://hijkzzz.notion.site/prorl-v2
6. Polaris - A Recipe for Scaling RL with Reasoning Models: https://hkunlp.github.io/blog/2025/Polaris/

RL Frameworks
1. Hybrid Flow (early outline of the verl framework): https://arxiv.org/abs/2409.19256
    a. More up-to-date info can be found here: https://arxiv.org/abs/2601.18150
2. AReal - Large-Scale Async RL: https://arxiv.org/abs/2505.24298
3. PipelineRL - Fast On-Policy RL: https://arxiv.org/abs/2509.19128
4. AsyncFlow - Async Streaming RL: https://arxiv.org/abs/2507.01663

RL for Agents
1. DeepSWE - Open Coding Agent Trained w/ RL: https://www.together.ai/blog/deepswe
2. AutoForge - Environment Synthesis for Agentic RL: https://arxiv.org/abs/2512.22857
3. Agent-R1 - Training Agents w/ End-to-End RL: https://arxiv.org/abs/2511.14460
4. AgentRL - Scaling RL for Multi-Turn, Multi-Task Agents: https://arxiv.org/abs/2510.04206
5. The Landscape of Agentic RL: https://arxiv.org/abs/2509.02547
6. Training SWE Agents with RL: https://arxiv.org/abs/2508.03501

Case Studies & Tech Reports
1. Kimi tech reports:
    a. Kimi K2 - Open Agentic Intelligence: https://arxiv.org/abs/2507.20534
    b. Kimi End-to-end Agentic RL: https://moonshotai.github.io/Kimi-Researcher/
    c. Kimi K1.5 - Scaling RL for LLMs: https://arxiv.org/abs/2501.12599
2. Composer series from Cursor:
    a. Composer 2: https://arxiv.org/abs/2603.24477
    b. Composer 2.5: https://cursor.com/blog/composer-2-5
3. Olmo 3 (also has open code / data): https://arxiv.org/abs/2512.13961
4. MiniMax tech reports:
    a. MiniMax-M2: https://arxiv.org/abs/2605.26494
    b. MiniMax-M1: https://arxiv.org/abs/2506.13585
5. Nemotron 3 (NVIDIA): https://arxiv.org/abs/2512.20856","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","136","800","18","2","1200","34377","true","photo","https://pbs.twimg.com/media/HJ0ULhtWkAAyYf6.jpg",,,"https://pbs.twimg.com/media/HJ0ULhtWkAAyYf6.jpg","2061827001204240599",,,,,,
"original","2061509262069923868","2026-06-01T18:04:43.000Z","whatthelukh","Luke J. Huang","New blog! Is frontier asynchronous RL solved?

The blog covers Async RL theory and infrastructure, surveying 8 open-weight frontier labs for the algorithmic techniques and systems fixes to handle train-inference mismatch. Also answered: why do current methods still fail at high policy lag? Which methods scale with horizon and compute?","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","134","1133","16","14","1755","238110","true","photo","https://pbs.twimg.com/media/HJtQfeeaUAAfZS_.jpg",,,"https://pbs.twimg.com/media/HJtQfeeaUAAfZS_.jpg","2061509262069923868",,,,,,
"original","2058208360944853329","2026-05-23T15:28:07.000Z","Gorden_Sun","Gorden Sun","ZOZO（日本最大服装电商）开源了他们内部的物理仿真接触求解器 ppf-contact-solver。
这套工具专门解决布料、绳索、软体在仿真中的碰撞接触问题，能保证完全无穿透、面料拉伸严格不越界（不会像游戏一样穿模），单个场景能处理超过1.8亿个接触点，有Blender插件。
Github：https://github.com/st-tech/ppf-contact-solver","zh","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","874","6165","123","79","4165","661396","true","video","https://pbs.twimg.com/amplify_video_thumb/2058208273141235712/img/BekaFm2ykfQnmzUY.jpg","https://video.twimg.com/amplify_video/2058208273141235712/vid/avc1/960x540/medDbW7p4DkWjI_S.mp4?tag=27","60","https://pbs.twimg.com/amplify_video_thumb/2058208273141235712/img/BekaFm2ykfQnmzUY.jpg","2058208360944853329",,,,,,
"reply","1877023018213327342","2025-01-08T16:02:15.000Z","natolambert","Nathan Lambert","@interconnectsai Also continuing to plug away at rlhf book https://rlhfbook.com/ but waiting to announce until v1","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1","19","0","0","7","2112","false","none",,,,,"1877020436246204596","1877020601736433829","2939913921","natolambert",,,
"original","2008035254246777211","2026-01-05T04:38:06.000Z","cwolferesearch","Cameron R. Wolfe, Ph.D.","Understanding vanilla GRPO is not enough. There are many tricks / modifications needed to avoid things things like training instability and entropy collapse, especially at scale.

In a new blog, I outline (or at least try my best) all of the practical tricks and best practices that have been recently proposed for GRPO. The overview will be released tomorrow morning. It includes 10+ papers and is 13,000 words long. Super excited for this one!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","81","756","17","3","762","53776","true","photo","https://pbs.twimg.com/media/G935IlZXYAAMK4A.jpg",,,"https://pbs.twimg.com/media/G935IlZXYAAMK4A.jpg","2008035254246777211",,,,,,
"original","1806354173279031323","2024-06-27T15:49:30.000Z","pietromazzaglia","Pietro Mazzaglia","🚨Introducing GenRL! 
An embodied AI agent that learns multimodal foundation world models 🌍

By connecting the multimodal knowledge of foundation models with the embodied knowledge of world models for RL, GenRL enables turning vision and language prompts into actions!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","55","254","4","4","183","32320","true","video","https://pbs.twimg.com/ext_tw_video_thumb/1806343514311041025/pu/img/sJQYqXk3vNmBVrRU.jpg","https://video.twimg.com/ext_tw_video/1806343514311041025/pu/vid/avc1/1280x720/iiIoRzOjdL-cGBb1.mp4?tag=12","59","https://pbs.twimg.com/ext_tw_video_thumb/1806343514311041025/pu/img/sJQYqXk3vNmBVrRU.jpg","1806354173279031323",,,,,,
