"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2078166241454473534","2026-07-17T17:13:37.000Z","dr_cintas","Alvaro Cintas","I just built my second brain with Hermes Agent.

It remembers people, companies, projects, and decisions. It pulls from meeting notes, docs, anything I feed it, and cites the source every time.

It's this repo called Gbrain, open-sourced by Y Combinator president Garry Tan.

install it by pasting this into Hermes:
  ""Install Gbrain following the instructions at http://github.com/garrytan/gbrain. Set up the embedding provider, then run gbrain init and gbrain doctor to verify.""

Add the MCP server so Hermes can call it directly:
  ""Add the Gbrain MCP server and reload.""

The graph builds itself. Pattern matching on the people and companies already in your notes. 31 points more precise than plain vector search, by their own benchmark.

The data from the video is made up so I could show you how it works.

Hermes' memory remembers our conversations. Gbrain remembers my world.

Open source. Runs local, no server, no Docker.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","20","151","19","1","250","16032","true","video","https://pbs.twimg.com/amplify_video_thumb/2078165999174529024/img/GhcI4hO4WxN1csax.jpg","https://video.twimg.com/amplify_video/2078165999174529024/vid/avc1/3320x2160/XGNFy0MwYH7wZB68.mp4?tag=29","31","https://pbs.twimg.com/amplify_video_thumb/2078165999174529024/img/GhcI4hO4WxN1csax.jpg","2078166241454473534",,,,,,
"original","2078667247267336294","2026-07-19T02:24:26.000Z","nickvasiles","Nick Vasilescu","is anyone instructing their hermes agent to update a github repo of itself

like:

sales-agent/
    system_prompt.md
    tools.yaml
    memory/
    workflows/
    skills/
    tests/

so that the agent becomes ""portable"" and the VPS or VM is just the runtime?

feels intuitive","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","0","67","24","0","67","6393","false","none",,,,,"2078667247267336294",,,,,,
"original","2078641430562492927","2026-07-19T00:41:50.000Z","tonysimons_","Tony Simons","http://x.com/i/article/2078625320727416832","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","20","182","4","2","309","22256","false","none",,,,,"2078641430562492927",,,,,,
"original","2078375153394917865","2026-07-18T07:03:45.000Z","RhysSullivan","Rhys","/goal ""Get all of my 2FA moved out of the 'Google Authenticator' app and into my 1password, preferrably as passkeys""  

Worked beautifully, codex computer use is incredible","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","20","1361","103","27","680","221311","true","photo","https://pbs.twimg.com/media/HNffLnYbYAAfaLj.jpg",,,"https://pbs.twimg.com/media/HNffLnYbYAAfaLj.jpg","2078375153394917865",,,,,,
"original","2078923846766256316","2026-07-19T19:24:04.000Z","BosonJoe","Joe Muller","This is actually amazing and I use it multiple times a day 📊

If you own an @NVIDIAAI DGX Spark, check it out!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","25","277","20","5","349","32288","true","video","https://pbs.twimg.com/amplify_video_thumb/2078923571561189376/img/2REFgaqKb_wS2vhR.jpg","https://video.twimg.com/amplify_video/2078923571561189376/vid/avc1/1608x1654/-05NwTtrq2Ya0AdQ.mp4?tag=29","35","https://pbs.twimg.com/amplify_video_thumb/2078923571561189376/img/2REFgaqKb_wS2vhR.jpg","2078923846766256316",,,,,,
"original","2078948953396236466","2026-07-19T21:03:50.000Z","sudoingX","Sudo su","every local model i've run, on every gpu i could get my hands on. sorted by tokens a second, top down. i'm not stopping.

🏆 264 tok/s · nemotron omni 31b-a3b · dgx spark
🏆 186 tok/s · nemotron cascade 30b-a3b · rtx 3090
115 tok/s · ornith 35b-a3b · rtx 5090
112 tok/s · qwen 3.5 35b-a3b · rtx 3090
68 tok/s · bonsai 27b 1-bit · rtx 3090
61 tok/s · qwen 3.5 122b-a10b · 2x h200
60 tok/s · nemotron super 120b-a12b · 2x h200
59 tok/s · qwen 3.6 35b-a3b · dgx spark
53 tok/s · qwen 3.6 35b-a3b · strix halo
50 tok/s · qwen 3.5 9b · rtx 3060
46 tok/s · qwen3-coder 80b-a3b · 2x 3090
42 tok/s · gemma 4 e4b · gtx 1080
40 tok/s · qwen 3.6 27b · rtx 3090
35 tok/s · hermes 4.3 36b · rtx 3090
🏆 20 tok/s · bonsai 27b 1-bit · gtx 1660 super, 6gb no tensor cores
🏆 20 tok/s · nex-n2-pro 397b-a17b · strix halo, 397b on one box
🏆 4 tok/s · kimi k2.5 1t · 8x 3090, a trillion params

six gigs to 287, one person, five months. what have you run. okay.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","254","21","0","158","14413","false","none",,,,,"2078948953396236466",,,,,,
"original","2078944033838116876","2026-07-19T20:44:17.000Z","MiaAI_lab","Mia","I'm open-sourcing sparkDash ⚡️

- Real-time monitoring for your DGX Sparks 
- Add your sparks from the UI
- vLLM / llama.cpp / SGLang real-time tok/s
- Mobile-friendly

Built 100% with DeepSeek V4 Flash running locally.

Let me know what you think 🫶

→ https://github.com/MiaAI-Lab/sparkDash","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","43","460","47","9","364","43804","true","photo","https://pbs.twimg.com/media/HNng4ZGWEAAlWSq.jpg",,,"https://pbs.twimg.com/media/HNng4ZGWEAAlWSq.jpg","2078944033838116876",,,,,,
"original","2078774556249186345","2026-07-19T09:30:50.000Z","thesupermanmx","Superman","China open-sourced a peanut-sized OCR that parses entire 100-page PDFs in one shot..

It's called Unlimited-OCR. Only 3B params. Runs locally.

Every other OCR tool chops your doc into pages and loses the thread. this one reads the whole thing in a single pass.

→ One-shot ""long-horizon"" parsing (32K context window)
→ Multilingual, out of the box
→ 93% on the standard parsing benchmark (+6 over baseline)
→ <0.11 error rate past 40 pages
→ Runs 100% locally on your own hardware
→ Works with Transformers, vLLM, SGLang, Docker, Ollama, llama.cpp

Traditional cloud OCR (Textract, Google Vision, Azure Doc Intelligence) costs $1.50–$15 per 1,000 pages.

This runs on your machine. For free. Forever.

Baidu built it explicitly to push DeepSeek-OCR one step further. Already at 1.9M downloads on Hugging Face and most people have no idea it exists yet.

100% open source.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1597","14480","136","91","20351","1075717","true","video","https://pbs.twimg.com/amplify_video_thumb/2078774157043695616/img/FCs_BD_rhowmZ3R8.jpg","https://video.twimg.com/amplify_video/2078774157043695616/vid/avc1/1916x954/_7P3xXRLz33HGiio.mp4?tag=29","13","https://pbs.twimg.com/amplify_video_thumb/2078774157043695616/img/FCs_BD_rhowmZ3R8.jpg","2078774556249186345",,,,,,
"original","2078576758735990884","2026-07-18T20:24:52.000Z","thatguybg","brett goldstein","my hot take is that 99% of software can be built with the same set of finite elements

spending time/tokens building any of this from scratch over and over again is peak AI psychosis","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","210","3064","170","56","4551","416857","true","photo","https://pbs.twimg.com/media/HNiVuvmW8AATPGf.jpg",,,"https://pbs.twimg.com/media/HNiVuvmW8AATPGf.jpg","2078576758735990884",,,,,,
"original","2079596512506438072","2026-07-21T15:57:00.000Z","aijoey","Joey","been running NVIDIA Cosmos3 Nano on my DGX Spark

today i moved the workflow to Cosmos3 Edge and built a local UI with Hermes agent around it:

one road image → 10s progressive rockfall → Locate Anything flagged the debris.

exploring rare, dangerous scenarios without waiting for them to happen.

simple edge test. more to come.

tip: low step preview before committing to the 50 step render.

cc: @NVIDIAAI @liu_mingyu @NousResearch","en","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1","47","5","1","27","3924","true","video","https://pbs.twimg.com/amplify_video_thumb/2079537461848375296/img/86RsIHpB4-Ny99ZV.jpg","https://video.twimg.com/amplify_video/2079537461848375296/vid/avc1/1280x960/nWTMZ9egZm4Z2_3U.mp4?tag=29","23","https://pbs.twimg.com/amplify_video_thumb/2079537461848375296/img/86RsIHpB4-Ny99ZV.jpg","2079596512506438072",,,,,,
