"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2062526843564233040","2026-06-04T13:28:14.000Z","akshay_pachaar","Akshay 🚀","http://x.com/i/article/2062152051157782528","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","18","206","8","0","396","18394","false","none",,,,,"2062526843564233040",,,,,,
"original","2061448348792414354","2026-06-01T14:02:40.000Z","sharbel","Sharbel","These Hermes Hacks Will Save You Hours

0:00 My current Hermes setup  
0:57 Hack 1: Mission Control  
2:25 Hack 2: Notion triggers and filming briefs  
5:12 Hack 3: Cron jobs  
6:23 Hack 4: Slash goals  
9:06 Hack 5: Subagents as a research team  
9:57 Hack 6: Telegram topics as workspaces  
11:04 Hack 7: Kanban for agent task management  
12:07 Hack 8: Skills as reusable SOPs  
14:28 Hack 9: Webhooks and event-based agents  
16:02 Hack 10: Specialized agents by job  
17:34 How Hermes becomes a 24/7 assistant","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","62","576","32","7","1161","31398","true","video","https://pbs.twimg.com/amplify_video_thumb/2061436226096254976/img/oXy_u6dng9PyZ_TS.jpg","https://video.twimg.com/amplify_video/2061436226096254976/vid/avc1/1280x720/hD_lhDOWS0dPLGyS.mp4?tag=27","1157","https://pbs.twimg.com/amplify_video_thumb/2061436226096254976/img/oXy_u6dng9PyZ_TS.jpg","2061448348792414354",,,,,,
"original","2056545463713640917","2026-05-19T01:20:21.000Z","tonysimons_","Tony Simons","http://x.com/i/article/2056535975552016384","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","38","528","15","4","1890","139265","false","none",,,,,"2056545463713640917",,,,,,
"quote","2061553131176034762","2026-06-01T20:59:02.000Z","tonysimons_","Tony Simons","If you’re building on Hermes Agent, here’s a little gift.

From me, to you.

Bookmark this.
Give it to your agent.
Tweak it to fit your needs.

Welcome to having an agent with the most badass personality on the planet. 🤘🏻","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","34","485","11","1","1324","80176","false","none",,,,,"2061553131176034762",,,,"2056545463713640917","1998221941300490241",
"original","2061380948659261805","2026-06-01T09:34:51.000Z","_jonatasantos","Jonata Santos","how to build anything rn:

- get a hetzner, do, or hostinger vps
- host hermes on it
- add gbrain or implement your own memory vault using qmd + sql
- set up hermes with codex auth -> gpt-5.5 / no reasoning / fast mode
- install orca on your macbook and phone with tailscale to have a nice ide to work on both 
- before starting any work, ask hermes to conduct deep research on the subject and save it to gbrain as source material for the project
- use the `/grill-me` skill or a similar prompt to uncover as many unknowns as possible. save results to memory too 
- define/write clear evals for every project to determine whether a run was successful
- have hermes iterate over the project until all evals pass, saving all learnings to the vault along the way
- whenever it gets stuck, use memory + a new research or `/grill-me` session to unblock it

rinse and repeat until the work is done. pay attention to the process. develop a feeling for how long tasks should take and do not be afraid to stop a model mid session to ask for status and why it's taking so long.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","182","3234","72","22","6245","173122","false","none",,,,,"2061380948659261805",,,,,,
"original","2060883609935077667","2026-05-31T00:38:36.000Z","cyrilXBT","CyrilXBT","http://x.com/i/article/2060852386651111424","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","52","481","22","15","1504","320494","false","none",,,,,"2060883609935077667",,,,,,
"quote","2060914969605189808","2026-05-31T02:43:13.000Z","cyrilXBT","CyrilXBT","Hermes Agent. Zero to full autonomous operation. One complete course.

Installation. Skills. Memory. MCP. Scheduler. Multi-agent.

Works while you sleep.

The people who build this system will never manually operate a content, research, or business workflow again.

The compounding starts from the first automated skill that runs.

Read this and bookmark it now.","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","146","1126","58","5","1861","152984","true","video","https://pbs.twimg.com/amplify_video_thumb/2060914916631232512/img/hVWwxPr1j7QRfq1j.jpg","https://video.twimg.com/amplify_video/2060914916631232512/vid/avc1/720x1280/2lbakvlpsPs8OefW.mp4?tag=14","38","https://pbs.twimg.com/amplify_video_thumb/2060914916631232512/img/hVWwxPr1j7QRfq1j.jpg","2060914969605189808",,,,"2060883609935077667","1373665408193036293",
"original","2060406977357070522","2026-05-29T17:04:38.000Z","aparnadhinak","Aparna Dhinakaran","http://x.com/i/article/2060381072148537344","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","121","894","13","10","1974","74154","false","none",,,,,"2060406977357070522",,,,,,
"original","2060351831826628650","2026-05-29T13:25:30.000Z","catalinmpit","Catalin","I've deployed my Hermes agent on a Hetzner VPS.

The security measures I've taken so far:
- Installed Tailscale and restricted SSH access to Tailscale IPs only
- Blocked all ports except 80 and 443
- Restricted ports 80 and 443 to Cloudflare IP ranges only
- Enabled and configured UFW
- Disabled password SSH login

Need to add:
- fail2ban

What else should I do?","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","59","1504","156","7","2950","174612","false","none",,,,,"2060351831826628650",,,,,,
"original","2059675518966894767","2026-05-27T16:38:05.000Z","IBuzovskyi","YanXbt","http://x.com/i/article/2059639716417273860","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","85","650","25","10","2006","510242","false","none",,,,,"2059675518966894767",,,,,,
