"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2055925063183163677","2026-05-17T08:15:06.000Z","sulekhat95","Sulekha Tripathi","INSTEAD OF WATCHING NETFLIX TONIGHT.         

Spend 1 hour with this.          

Claude AI FULL COURSE that teaches you how to BUILD and AUTOMATE anything.          

The people who watch this tonight will wake up tomorrow with a new skill.          

Watch it and Bookmark it now.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","27","100","10","2","155","6353","true","video","https://pbs.twimg.com/amplify_video_thumb/2055924496880799744/img/c3Iz7VH6fQVkDiNM.jpg","https://video.twimg.com/amplify_video/2055924496880799744/vid/avc1/1280x720/cky836vbplzcIpP2.mp4?tag=27","3591","https://pbs.twimg.com/amplify_video_thumb/2055924496880799744/img/c3Iz7VH6fQVkDiNM.jpg","2055925063183163677",,,,,,
"original","1920532650332201323","2025-05-08T17:34:00.000Z","JulianGoldieSEO","Julian Goldie SEO","New Claude + HeyGen Updates + FREE Computer Use AI Agent!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","95","677","7","3","1310","28611","true","video","https://pbs.twimg.com/amplify_video_thumb/1920532225742815233/img/1Tk0_oujjptxVgX5.jpg","https://video.twimg.com/amplify_video/1920532225742815233/vid/avc1/1280x720/WBKqTKjw1X946XAW.mp4?tag=21","1851","https://pbs.twimg.com/amplify_video_thumb/1920532225742815233/img/1Tk0_oujjptxVgX5.jpg","1920532650332201323",,,,,,
"original","2045070676063649908","2026-04-17T09:23:39.000Z","the_smart_ape","The Smart Ape 🔥","http://x.com/i/article/2045033678791716864","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","81","744","24","27","2365","999811","false","none",,,,,"2045070676063649908",,,,,,
"original","2039310366958891221","2026-04-01T11:54:14.000Z","rubenhassid","Ruben Hassid","http://x.com/i/article/2039282762364981248","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","148","1152","12","33","3700","2662535","false","none",,,,,"2039310366958891221",,,,,,
"quote","2051602805644022228","2026-05-05T10:00:00.000Z","rubenhassid","Ruben Hassid","How to turn any book into a Claude Skill in 5 mins: 

(even if you've never built a skill before)

1. Pick a book with a repeatable framework. 
Skip fiction and memoirs. Test: ""Can I describe the method in numbered steps?"" If yes, it's skill-able.

2. Answer 5 questions about the book.
The problem it solves. The steps in order. 
The rules that repeat. The mistakes to avoid. 
The questions the author asks the reader.

3. Open Cowork. Use Opus 4.7 + Adaptive Thinking. 
Paste this prompt: ""Use the skill-creator to build a skill from [BOOK TITLE] by [AUTHOR].
The skill should activate when I ask Claude to [exact task. Example: validate a startup idea, plan a deep work week, write a brand story].
Method from the book:
- Steps: [paste]
- Rules the author repeats: [paste]
- Mistakes to avoid: [paste]
- Questions the author asks: [paste]
Do NOT use this skill for: [3 to 4 adjacent tasks. Example: general writing, unrelated business advice, book summaries].
Interview me on anything missing before generating the SKILL .md. Then run an evaluation."" 

4. Test the skill before you install. 
Try 5 phrasings of the same request: ""Does it fire?"" 
Try 3 unrelated requests: ""Does it stay quiet?""
Read my free guide on skills: http://claude-skills.free

5. Install. Settings → Capabilities → Skills → Upload. 
Type your /command anywhere on Claude. 
The skill runs.

Pro tip: Build 2 skills per book. 
Big books have two layers - split them.

/[book]-diagnose runs the book's questions on your situation. 
/[book]-apply produces the output in the author's format. 

To download all of my other Claude infographics:

Step 1. Go to http://how-to-ai.guide.
Step 2. Subscribe for free. Don't pay anything.
Step 3. Open my welcome email (most skip this).
Step 4. Hit the automatic reply button inside.
Step 5. Download my infographics from my Notion.

Bonus. Enjoy my best copy-paste prompts, too.","en","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","220","1183","34","7","1732","112029","true","photo","https://pbs.twimg.com/media/HHjAgwvbYAA8KGH.jpg",,,"https://pbs.twimg.com/media/HHjAgwvbYAA8KGH.jpg","2051602805644022228",,,,"2039310366958891221","1269541526",
"original","2052400902745555344","2026-05-07T14:51:21.000Z","cyrilXBT","CyrilXBT","ANTHROPIC JUST EXPOSED HOW FAR BEHIND MOST FOUNDERS ARE IN BUILDING COMPANIES WITH AI AGENTS.

Not a chatbot guide.

Not a prompt tutorial.

A full workshop on how to architect, build, and deploy AI agents that run your business operations autonomously.

From the team that built Claude.

For free.

Here is what most people are missing about why this is different from every other AI workshop.

Most workshops teach you how to use AI tools.

This teaches you how to REPLACE business functions with them.

Not replace individual tasks.

Entire functions.

Research. Content. Customer communication. Operations. Analytics.

All running on agent systems that trigger autonomously, hand off between each other, and compound their output without a human initiating anything.

The founders who attended Anthropic's enterprise briefings on this material are already building companies with 3 to 5 person teams that operate at the output level of 50-person organizations.

Now the same workshop is public.

Free.

The gap between companies that understand how to architect multi-agent systems and companies that are still using AI as a chat tool is not closing.

It is widening every single month.

This workshop is the fastest path from the wrong side of that gap to the right one.

Bookmark this and watch it this weekend.

Follow @cyrilXBT for every Anthropic release that changes how companies are built.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","154","1430","54","5","4027","120190","true","video","https://pbs.twimg.com/amplify_video_thumb/2052400693529481220/img/Gi5cNbNw_2SLRuo6.jpg","https://video.twimg.com/amplify_video/2052400693529481220/vid/avc1/1920x1080/5lnUqaTvaXEY9m_5.mp4?tag=27","1821","https://pbs.twimg.com/amplify_video_thumb/2052400693529481220/img/Gi5cNbNw_2SLRuo6.jpg","2052400902745555344",,,,,,
"original","2033919415771713715","2026-03-17T14:52:31.000Z","itsolelehmann","Ole Lehmann","http://x.com/i/article/2033576301383061504","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","522","5388","87","73","18511","2504583","false","none",,,,,"2033919415771713715",,,,,,
"quote","2036461256006357409","2026-03-24T15:12:53.000Z","shannholmberg","Shann³","Karpathy's AutoResearch is changing how campaigns get optimized and most marketers haven´t heard of it yet.

Ole Lehmann tested it on landing page copy, 56% → 92% pass rate overnight.

here´s how it works for marketing / skills 🧵","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","357","3810","61","17","10369","1044346","true","photo","https://pbs.twimg.com/media/HEL2uG4aIAAoemt.jpg",,,"https://pbs.twimg.com/media/HEL2uG4aIAAoemt.jpg","2036461256006357409",,,,"2033919415771713715","1587816802264006657",
"original","2052758996784939316","2026-05-08T14:34:17.000Z","itsolelehmann","Ole Lehmann","Garry Tan’s custom instructions are based.

It pushes any LLM past half-finished bullshit and into actually useful answers.

Add this to your SOUL md:","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","66","1041","39","11","1932","72387","true","photo","https://pbs.twimg.com/media/HHzdbaraMAAckbV.jpg",,,"https://pbs.twimg.com/media/HHzdbaraMAAckbV.jpg","2052758996784939316",,,,,,
"original","2026308695399784913","2026-02-24T14:50:14.000Z","ArmanHezarkhani","Arman Hezarkhani","http://x.com/i/article/2026301424724754432","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1223","6903","92","181","21453","4117514","false","none",,,,,"2026308695399784913",,,,,,
"quote","2026308832394170641","2026-02-24T14:50:47.000Z","ArmanHezarkhani","Arman Hezarkhani","This is a huge deal for nerds","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","489","5724","30","5","8863","1368445","false","none",,,,,"2026308832394170641",,,,"2026308695399784913","1165972975805333504",
"original","2045466421036007527","2026-04-18T11:36:12.000Z","defileo","Defileo🔮","http://x.com/i/article/2045262387041730560","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","85","918","14","26","4290","4995031","false","none",,,,,"2045466421036007527",,,,,,
"original","2052809885763747935","2026-05-08T17:56:30.000Z","trq212","Thariq","http://x.com/i/article/2052796100608974848","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2251","17400","1085","1894","34029","14078001","false","none",,,,,"2052809885763747935",,,,,,
"quote","2052842474687680678","2026-05-08T20:06:00.000Z","AYi_AInotes","AYi","Claude团队的工程师，已经彻底抛弃Markdown了。

不是Markdown不好用，
是AI变得太快，它已经跟不上了。

以前AI写10行笔记，Markdown刚刚好，
现在AI能一次性输出1000行计划、复杂流程图、完整代码审查，
密密麻麻的纯文字墙谁有耐心看得完？

作者自己都说，他从来没完整读完过100行以上的AI生成MD文件。

更要命的是：现在都是AI写，我们只看不改。

Markdown最大的优点“易手动编辑”，现在已经彻底没用了。

而HTML，才是AI时代真正的沟通语言，
它能做到的事，Markdown想都不敢想：

• 直接生成带颜色的表格、SVG流程图、可点击的原型

• 加滑块调参数、拖拽排序任务、实时预览Prompt效果

• 改完一键导出成代码或Prompt，喂回给AI继续迭代

• 发个链接别人点开就能看，不用下载任何工具

作者直接放出了20个现成示例：

从代码审查的彩色diff，
到可拖拽的任务看板，
从动画参数调试器，
到一键生成的幻灯片。
每一个都是能直接用的生产力工具。

最爽的三个用法，现在就能抄：

1. 代码审查：让AI把PR生成带注释的彩色diff+模块调用图

2. 做计划：生成带时间线、风险表、流程图的交互式项目页

3. 临时工具：让AI写一个Prompt调参器，改完直接复制结果

当然它也有缺点：
多花一点token，生成时间长2-4倍，版本控制不如MD干净。
但作者说：体验提升了10倍，这些代价完全值得。

本质上不是格式之争，而是人机协作方式的升级。
因为Markdown是给人写给人看的，
而HTML是给AI写给人用的。

随着当AI越来越聪明，我们需要的不再是文字墙，而是能互动、能操作、能思考的界面。

现在打开Claude，输入“帮我做一个HTML文件……”，你会打开一个全新的世界。","zh","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","597","4402","197","168","7135","1389603","true","video","https://pbs.twimg.com/amplify_video_thumb/2052842360896163842/img/v-ijeXjEzugZjNBi.jpg","https://video.twimg.com/amplify_video/2052842360896163842/vid/avc1/1280x720/eRAxTuCLVLWvR542.mp4?tag=27","86","https://pbs.twimg.com/amplify_video_thumb/2052842360896163842/img/v-ijeXjEzugZjNBi.jpg","2052842474687680678",,,,"2052809885763747935","352806502",
"original","2010180225108508760","2026-01-11T02:41:27.000Z","JulianGoldieSEO","Julian Goldie SEO","Claude FULL COURSE 1 HOUR (Build &amp; Automate Anything)","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2389","14112","84","134","21093","784677","true","video","https://pbs.twimg.com/amplify_video_thumb/2010179793875283970/img/DMQCff0JPeYZt23R.jpg","https://video.twimg.com/amplify_video/2010179793875283970/vid/avc1/1280x720/H_DluiUo8znrBbJj.mp4?tag=21","3591","https://pbs.twimg.com/amplify_video_thumb/2010179793875283970/img/DMQCff0JPeYZt23R.jpg","2010180225108508760",,,,,,
"original","2046453361206050958","2026-04-21T04:57:57.000Z","cyrilXBT","CyrilXBT","INSTEAD OF WATCHING NETFLIX TONIGHT 

Spend 30 minutes with this.

A speech by the Head of Anthropic's Coding Agents research team that teaches you more about vibe coding than 100 paid courses ever could.

This is not a tutorial.

This is the person who actually builds the system explaining how it works from the inside.

Most people learning to vibe code are learning the surface.

This goes underneath it.

30 minutes tonight.

The people who watch this will build differently tomorrow.

Completely free.

Bookmark this before you open Netflix 👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","239","1740","34","8","5270","288587","true","video","https://pbs.twimg.com/amplify_video_thumb/2046453217605849088/img/9TyhSB3K93hukamP.jpg","https://video.twimg.com/amplify_video/2046453217605849088/vid/avc1/640x360/hmAs3Jk7iy-M82CC.mp4?tag=21","1870","https://pbs.twimg.com/amplify_video_thumb/2046453217605849088/img/9TyhSB3K93hukamP.jpg","2046453361206050958",,,,,,
"quote","2052419259159187474","2026-05-07T16:04:18.000Z","heynavtoor","Nav Toor","most people open Claude and type the same prompt every single day.

I built 40 skills that do it for me. forever. one markdown file each.

> thread architect — one idea in, 7-tweet thread out
> cold email writer — reads like a human wrote it at 9am
> voice mimic — studies 3 samples, writes in that exact voice
> inbox triage — sorts everything before I touch it
> brain dump sorter — messy thoughts in, clean task list out

drop the file in .claude/skills/. Claude reads it once. never explain the job again.

40 skills. 6 categories. every file ready to copy.

don't install all 40. pick 5 that match your work. run them for 2 weeks.

Claude is the engine. skills are the steering wheel. without them you're just pressing the gas and hoping.

this article will save you hours every week. not someday. this week.","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","16","125","10","0","395","41252","true","video","https://pbs.twimg.com/amplify_video_thumb/2052419208001232896/img/LZbpqTldRXwpyPEd.jpg","https://video.twimg.com/amplify_video/2052419208001232896/vid/avc1/720x640/-8qz1bULfpHhniXQ.mp4?tag=14","10","https://pbs.twimg.com/amplify_video_thumb/2052419208001232896/img/LZbpqTldRXwpyPEd.jpg","2052419259159187474",,,,"2052351837123363273",,
"original","2013015738622284156","2026-01-18T22:28:46.000Z","blader","Siqi Chen","it's really handy that wikipedia went and collated a detailed list of ""signs of ai writing"".

so much so that you can just tell your LLM to ... not do that.

i asked claude code to read that article, and create a skill to avoid all of them.

enjoy: https://github.com/blader/humanizer","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","303","5578","227","119","8125","920485","false","none",,,,,"2013015738622284156",,,,,,
"original","2032487597214490969","2026-03-13T16:02:59.000Z","liulicheng10","Licheng Liu","http://x.com/i/article/2032337794388148224","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","76","711","8","3","1267","63653","false","none",,,,,"2032487597214490969",,,,,,
"original","2009131298250428923","2026-01-08T05:13:24.000Z","dabit3","nader dabit","http://x.com/i/article/2009042873145282561","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1055","8817","169","135","22985","4004505","false","none",,,,,"2009131298250428923",,,,,,
"quote","2009139688959852701","2026-01-08T05:46:44.000Z","dabit3","nader dabit","I learned and used the Claude Agent SDK today to build an agent. I genuinely think this will be one of the most useful skillets to have in this new world.

Documented the TLDR here in this tutorial to get you started.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","370","5419","94","19","11369","982351","false","none",,,,,"2009139688959852701",,,,"2009131298250428923","17189394",
"original","2041867260189434035","2026-04-08T13:14:25.000Z","defileo","Defileo🔮","http://x.com/i/article/2041782608548274176","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","61","553","9","6","1927","473511","false","none",,,,,"2041867260189434035",,,,,,
"quote","2041884593087803841","2026-04-08T14:23:18.000Z","noisyb0y1","Noisy","This 1-hour Stanford lecture will teach you more about how AI agents actually work than every ""automation hack"" thread you've read this year.

Bookmark this &amp; give it 1 hour today, no matter what. Then read the article below.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","277","1753","23","3","5343","268641","true","video","https://pbs.twimg.com/amplify_video_thumb/2041881894808092672/img/5n6SrP3fGt5qZyop.jpg","https://video.twimg.com/amplify_video/2041881894808092672/vid/avc1/1280x720/oKHuMJzw6iW3e7Z1.mp4?tag=21","3425","https://pbs.twimg.com/amplify_video_thumb/2041881894808092672/img/5n6SrP3fGt5qZyop.jpg","2041884593087803841",,,,"2041867260189434035","1663262095868084228",
"original","2052368125480354000","2026-05-07T12:41:06.000Z","zodchiii","darkzodchi","http://x.com/i/article/2052347800285753347","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","186","1367","30","23","3879","807570","false","none",,,,,"2052368125480354000",,,,,,
