"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2062401282845909486","2026-06-04T05:09:18.000Z","rtodi","Rahul Todi","Came across this CLAUDE.md honesty ruleset that forces Claude Code to stop lying and own up to its mistakes in every session—will give this a try.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","0","5","0","0","9","424","true","photo","https://pbs.twimg.com/media/HJ8fCS3WUAAAg-F.jpg",,,"https://pbs.twimg.com/media/HJ8fCS3WUAAAg-F.jpg","2062401282845909486",,,,,,
"original","2061877533885473181","2026-06-02T18:28:06.000Z","mvanhorn","Matt Van Horn","http://x.com/i/article/2061440101411102721","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","270","2508","105","64","7627","676270","false","none",,,,,"2061877533885473181",,,,,,
"original","2061907337154367865","2026-06-02T20:26:32.000Z","trq212","Thariq","http://x.com/i/article/2061850535708483585","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1216","9536","227","252","22374","2727923","false","none",,,,,"2061907337154367865",,,,,,
"original","2061019244595233135","2026-05-31T09:37:34.000Z","0x_rody","rody","http://x.com/i/article/2061010206490787844","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","48","385","18","10","1660","1065552","false","none",,,,,"2061019244595233135",,,,,,
"quote","2061040686330257656","2026-05-31T11:02:46.000Z","zodchiii","darkzodchi","Anthropic engineer: 

""You can build 5 assistants in one afternoon. Each one handles a task you've been doing manually every single day.""

In 45 minutes he builds 5 focused agents from scratch on camera. 

Most people are still doing code review, testing, and documentation by hand every single day

Watch the session, then save all templates below 👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","502","5037","85","11","14943","1049721","true","video","https://pbs.twimg.com/amplify_video_thumb/2061021331731165184/img/dFy7BXZlM6IvzVsl.jpg","https://video.twimg.com/amplify_video/2061021331731165184/vid/avc1/1280x720/fgTwbf8Wbs1Fp3bc.mp4?tag=27","1799","https://pbs.twimg.com/amplify_video_thumb/2061021331731165184/img/dFy7BXZlM6IvzVsl.jpg","2061040686330257656",,,,"2061019244595233135","1386319613391253504",
"original","2061106244610408566","2026-05-31T15:23:16.000Z","0xMortyx","0xMorty","http://x.com/i/article/2061083387498991617","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","43","269","3","11","1057","578863","false","none",,,,,"2061106244610408566",,,,,,
"quote","2061491256107159736","2026-06-01T16:53:10.000Z","0xMortyx","0xMorty","Andrej Karpathy: ""90% of what AI twitter tells you to learn will be dead in 6 months""

90% of what ai twitter tells you to learn dies in 6 months

senior engineers already stopped chasing it

the dead list: autogen, crewai, autonomous agent pitches, agent marketplaces, benchmark leaderboards, semantic kernel, dspy as a general framework, horizontal ""build any agent"" platforms, per-seat pricing for agents

the pattern is obvious. demos that break in production. hype that never ships. frameworks that go viral on monday and vanish by spring

what actually compounds:
context engineering
tool design
orchestrator-subagent pattern
eval discipline
the harness mindset. harness > model, always
mcp as the protocol layer

the edge isn't the newest framework. it's staying a few steps ahead until your signal becomes everyone's mass-opinion

book and study this","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","224","2079","66","21","4762","374486","true","video","https://pbs.twimg.com/amplify_video_thumb/2061490884772864000/img/2niDIeooz8v_EdJ0.jpg","https://video.twimg.com/amplify_video/2061490884772864000/vid/avc1/1920x1080/KYFaLLWgbps08y9B.mp4?tag=27","2345","https://pbs.twimg.com/amplify_video_thumb/2061490884772864000/img/2niDIeooz8v_EdJ0.jpg","2061491256107159736",,,,"2061106244610408566","1523268434586480642",
"original","2060674246880149900","2026-05-30T10:46:40.000Z","zodchiii","darkzodchi","http://x.com/i/article/2059953944156082180","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","116","1048","25","20","4003","1608385","false","none",,,,,"2060674246880149900",,,,,,
"quote","2060728613872234644","2026-05-30T14:22:42.000Z","zodchiii","darkzodchi","Anthropic engineer: 

""You're not supposed to watch Claude Code work. You're supposed to wake up and review what it shipped.""

In 22 minutes she builds the entire workflow live on camera.

Most people close their terminal and everything stops. 
This setup keeps shipping while you sleep.

Watch the video, then save the exact setup below👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","739","7905","160","44","23655","1568670","true","video","https://pbs.twimg.com/amplify_video_thumb/2060728133398011906/img/g7TZwTQTX1VaQM7c.jpg","https://video.twimg.com/amplify_video/2060728133398011906/vid/avc1/1280x720/gYSTX2V5w5WCUg5t.mp4?tag=27","1302","https://pbs.twimg.com/amplify_video_thumb/2060728133398011906/img/g7TZwTQTX1VaQM7c.jpg","2060728613872234644",,,,"2060674246880149900","1226636978256564226",
"original","2056415973125796184","2026-05-18T16:45:49.000Z","trq212","Thariq","a prompt I've been using a lot recently:

implement &lt;SPEC&gt; and while you do, keep a running implementation-notes.html file (or markdown) with decisions you had to make weren't in the spec, things you had to change, tradeoffs you had to make or anything else I should know","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","582","9720","343","126","12373","819470","true","photo","https://pbs.twimg.com/media/HInbJHobUAMaPDB.jpg",,,"https://pbs.twimg.com/media/HInbJHobUAMaPDB.jpg","2056415973125796184",,,,,,
